,Algorithm,Dataset,Number of Clusters,Type,Silhouette,Execution Time
3,AGNES,Trip Advisor,2,single,0.41066869525048516,0.019742250442504883
2,AGNES,Trip Advisor,2,average,0.41066869525048516,0.05581498146057129
7,AGNES,Trip Advisor,3,single,0.3851109482909316,0.021775484085083008
11,AGNES,Trip Advisor,4,single,0.3244889253150097,0.027564048767089844
15,AGNES,Trip Advisor,5,single,0.28851588840608844,0.0177767276763916
6,AGNES,Trip Advisor,3,average,0.28345376757333157,0.06113481521606445
0,AGNES,Trip Advisor,2,ward,0.2793128283205194,0.07337164878845215
1,AGNES,Trip Advisor,2,complete,0.27486384544141035,0.11074304580688477
19,AGNES,Trip Advisor,6,single,0.27443635229719615,0.041933536529541016
10,AGNES,Trip Advisor,4,average,0.22901955494830473,0.0545804500579834
23,AGNES,Trip Advisor,7,single,0.223349300670013,0.029622793197631836
4,AGNES,Trip Advisor,3,ward,0.21869392177917943,0.04082179069519043
14,AGNES,Trip Advisor,5,average,0.21704349613863227,0.041458845138549805
27,AGNES,Trip Advisor,8,single,0.20914325399289424,0.01951456069946289
18,AGNES,Trip Advisor,6,average,0.20621176905385646,0.06355547904968262
22,AGNES,Trip Advisor,7,average,0.19402579186806224,0.07841253280639648
31,AGNES,Trip Advisor,9,single,0.16855941273868025,0.025904178619384766
35,AGNES,Trip Advisor,10,single,0.16519739393938673,0.01928997039794922
9,AGNES,Trip Advisor,4,complete,0.16285048175017408,0.03786730766296387
13,AGNES,Trip Advisor,5,complete,0.16115426754546186,0.07703876495361328
26,AGNES,Trip Advisor,8,average,0.1607778535228977,0.06231403350830078
30,AGNES,Trip Advisor,9,average,0.1596288989770023,0.055620670318603516
5,AGNES,Trip Advisor,3,complete,0.15577203653564992,0.040726423263549805
17,AGNES,Trip Advisor,6,complete,0.1506217909235277,0.049390316009521484
20,AGNES,Trip Advisor,7,ward,0.13941919640523745,0.05915522575378418
8,AGNES,Trip Advisor,4,ward,0.13376333330881557,0.059728384017944336
16,AGNES,Trip Advisor,6,ward,0.13172594762082596,0.05782818794250488
12,AGNES,Trip Advisor,5,ward,0.12681512999989455,0.04390382766723633
28,AGNES,Trip Advisor,9,ward,0.1160610596791776,0.04468202590942383
24,AGNES,Trip Advisor,8,ward,0.10969299813451437,0.05123138427734375
32,AGNES,Trip Advisor,10,ward,0.10444811795627763,0.05267047882080078
29,AGNES,Trip Advisor,9,complete,0.09648358902318573,0.04520702362060547
33,AGNES,Trip Advisor,10,complete,0.09605980277727076,0.04295182228088379
34,AGNES,Trip Advisor,10,average,0.09534498895095551,0.04265570640563965
21,AGNES,Trip Advisor,7,complete,0.09309044435210628,0.07960200309753418
25,AGNES,Trip Advisor,8,complete,0.09270217486714685,0.061760663986206055
